Title,Awards,Nominations
The Farmer's Daughter,1,2
First Steps,1,1
Gentleman's Agreement,3,8
"Goodbye, Miss Turlock",1,1
Great Expectations,2,5
Green Dolphin Street,1,4
Miracle on 34th Street,3,4
Mother Wore Tights,1,3
Shoeshine (Sciuscià),1,1
Song of the South,2,2
Tweetie Pie,1,1
Anna and the King of Siam,2,5
The Best Years of Our Lives,8,8
Blithe Spirit,1,1
A Boy and His Dog,1,1
The Cat Concerto,1,1
Facing Your Danger,1,1
The Harvey Girls,1,2
Henry V,1,4
The Jolson Story,2,6
The Razor's Edge,1,4
Seeds of Destiny,1,1
The Seventh Veil,1,1
The Yearling,2,7
To Each His Own,1,2
Vacation from Marriage (UK title Perfect Strangers),1,1
Anchors Aweigh,1,5
The Bells of St. Mary's,1,8
Blood on the Sun,1,1
Frenchman's Creek,1,1
Hitler Lives,1,1
The House I Live In,1,0
The House on 92nd Street,1,1
Leave Her to Heaven,1,4
The Lost Weekend,4,7
Marie-Louise,1,1
Mildred Pierce,1,6
National Velvet,2,5
The Picture of Dorian Gray,1,3
Quiet Please!,1,1
Spellbound,1,6
Stairway to Light,1,1
Star in the Night,1,1
State Fair,1,2
A Tree Grows in Brooklyn,1,2
The True Glory,1,1
Wonder Man,1,4
Cover Girl,1,5
The Fighting Lady,1,1
Gaslight,2,7
Going My Way,7,10
I Won't Play,1,1
Laura,1,5
Mouse Trouble,1,1
None But the Lonely Heart,1,4
Since You Went Away,1,9
Thirty Seconds Over Tokyo,1,2
Who's Who in Animal Land,1,1
Wilson,5,10
With the Marines at Tarawa,1,1
Air Force,1,4
Amphibious Fighters,1,1
Casablanca,3,8
Crash Dive,1,1
December 7th,1,1
Desert Victory,1,1
For Whom the Bell Tolls,1,9
Heavenly Music,1,1
"Hello, Frisco, Hello",1,2
The Human Comedy,1,5
The More the Merrier,1,6
Phantom of the Opera,2,4
Princess O'Rourke,1,1
The Song of Bernadette,4,12
This Is the Army,1,3
This Land Is Mine,1,1
Watch on the Rhine,1,4
The Yankee Doodle Mouse,1,1
Beyond the Line of Duty,1,1
The Black Swan,1,3
Der Fuehrer's Face,1,1
Holiday Inn,1,3
In Which We Serve,1,2
The Invaders,1,3
Johnny Eager,1,1
Kokoda Front Line!,1,1
Moscow Strikes Back,1,1
Mrs. Miniver,6,12
"Now, Voyager",1,3
Prelude to War,1,1
The Pride of the Yankees,1,11
Reap the Wild Wind,1,3
Speaking of Animals and Their Families,1,1
The Battle of Midway,1,1
This Above All,1,4
Woman of the Year,1,2
Yankee Doodle Dandy,3,8
All That Money Can Buy,1,2
Blood and Sand,1,2
Blossoms in the Dust,1,4
Churchill's Island,1,1
Citizen Kane,1,9
Dumbo,1,2
The Great Lie,1,1
Here Comes Mr. Jordan,2,7
How Green Was My Valley,5,10
I Wanted Wings,1,1
Kukan,1,0
Lady Be Good,1,1
Lend a Paw,1,1
Main Street on the March!,1,1
Of Pups and Puzzles,1,1
Sergeant York,2,11
Suspicion,1,3
Target for Tonight,1,0
That Hamilton Woman,1,4
"Arise, My Love",1,4
Fantasia,2,0
The Grapes of Wrath,2,7
The Great McGinty,1,1
Kitty Foyle (Kitty Foyle: The Natural History of a Woman),1,5
The Milky Way,1,1
North West Mounted Police,1,5
The Philadelphia Story,2,6
Pinocchio,2,2
Pride and Prejudice,1,1
Quicker'n a Wink,1,1
Rebecca,2,11
Strike Up the Band,1,3
"Teddy, the Rough Rider",1,1
The Thief of Bagdad,3,4
Tin Pan Alley,1,1
The Westerner,1,3
Busy Little Bears,1,1
Gone with the Wind,10,13
"Goodbye, Mr. Chips",1,7
Mr. Smith Goes to Washington,1,11
The Rains Came,1,9
Sons of Liberty,1,1
Stagecoach,2,7
The Ugly Duckling,1,1
When Tomorrow Comes,1,1
The Wizard of Oz,2,11
Wuthering Heights,1,8
The Adventures of Robin Hood,3,4
Alexander's Ragtime Band,1,6
The Big Broadcast of 1938,1,1
Boys Town,2,5
The Cowboy and the Lady,1,3
Declaration of Independence,1,1
Ferdinand the Bull,1,1
Jezebel,2,5
Kentucky,1,1
Pygmalion,1,4
Spawn of the North,1,0
Sweethearts,1,2
That Mothers Might Live,1,1
The Great Waltz,1,3
You Can't Take It with You,2,7
The Awful Truth,1,6
Captains Courageous,1,4
A Damsel in Distress,1,2
The Good Earth,2,5
The Hurricane,1,3
In Old Chicago,2,6
The Life of Emile Zola,3,10
Lost Horizon,2,7
The Old Mill,1,1
One Hundred Men and a Girl,1,5
Penny Wisdom,1,1
The Private Life of the Gannets,1,1
Snow White and the Seven Dwarfs,1,1
A Star Is Born,2,7
Torture Money,1,1
Waikiki Wedding,1,2
Anthony Adverse,4,7
Bored of Education,1,1
The Charge of the Light Brigade,1,3
Come and Get It,1,2
The Country Cousin,1,1
Dodsworth,1,7
The Garden of Allah,1,2
Give Me Liberty,1,1
The Great Ziegfeld,3,7
Mr. Deeds Goes to Town,1,5
The Public Pays,1,1
San Francisco,1,6
The Story of Louis Pasteur,3,4
Swing Time,1,2
Broadway Melody of 1936,1,3
Dangerous,1,1
The Dark Angel,1,3
Folies Bergere,1,1
Gold Diggers of 1935,1,2
How to Sleep,1,1
The Informer,4,6
The Lives of a Bengal Lancer,1,7
A Midsummer Night's Dream,2,7
Mutiny on the Bounty,1,8
Naughty Marietta,1,2
The Scoundrel,1,1
Three Orphan Kittens,1,1
Wings Over Everest,1,1
City of Wax,1,1
Cleopatra,1,5
La Cucaracha,1,1
Eskimo,1,1
The Gay Divorcee,1,5
It Happened One Night,5,5
Manhattan Melodrama,1,1
The Merry Widow,1,1
One Night of Love,2,6
The Tortoise and the Hare,1,1
Viva Villa!,1,4
Cavalcade,3,4
A Farewell to Arms,2,4
Krakatoa,1,1
Little Women,1,3
Morning Glory,1,1
One Way Passage,1,1
The Private Life of Henry VIII,1,2
So This Is Harris!,1,1
Three Little Pigs,1,1
Bad Girl,2,3
The Champ,2,4
Dr. Jekyll and Mr. Hyde,1,3
Flowers and Trees,1,1
Grand Hotel,1,1
The Music Box,1,1
Shanghai Express,1,3
The Sin of Madelon Claudet,1,1
Transatlantic,1,1
Wrestling Swordfish,1,1
Cimarron,3,7
The Dawn Patrol,1,1
A Free Soul,1,3
Min and Bill,1,1
Skippy,1,4
Tabu,1,1
All Quiet on the Western Front,2,4
The Big House,2,4
Disraeli,1,3
The Divorcee,1,4
King of Jazz,1,1
With Byrd at the South Pole,1,1
The Bridge of San Luis Rey,1,1
The Broadway Melody,1,3
Coquette,1,1
The Divine Lady,1,3
In Old Arizona,1,5
The Patriot,1,5
White Shadows in the South Seas,1,1
7th Heaven,3,5
The Circus,1,0
The Dove,1,1
The Jazz Singer,1,1
The Last Command,1,2
Street Angel,1,3
Sunrise,3,10
Tempest,1,1
Two Arabian Knights,1,1
Underworld,1,1
The Way of All Flesh,1,1
Wings,2,2
